record_id,time,victim,narrative,date_raw,source_page,notes
11,1555 HRS.,CHICAGO RESIDENTS (2 VICTIMS),"person(s) unknown removed victim #1's white floral pattern pouch that was placed underneath a chair near the pool. the pouch contained a wallet, illinois driver's license, miscellaneous debit/credit cards, black iphone x, motorola pager, house keys and a key fob to a gray 2022 kia sorrento. unknown offender(s) used said key fob to unlock and take the victim's vehicle that was parked at 1000 block of gunderson. victim #2, along with oak park officers located the vehicle at 13th ave between ridgeland and elmwood in berwyn. oak park officers observed the subject: m/b, juvenile, thin build, hair in twists with gold tips and wearing all black clothing use a key fob in an attempt to gain entry the victim's vehicle. the subject then fled on foot southbound elmwood and was last seen westbound on 14th avenue. the victim's key fob was located in the rear yard at 1300 block of s. elmwood. no arrest at this time. loss estimated at $740.00.",29-MAY-22,2.0,
12,1214 HOURS,OAK PARK RESIDENT,"offender parker, kendall r. 24 yoa from 1000 block of eastwood in bellwood was arrested at the above address after he was identified as the offender in several domestic violence incidents with victim. on 03dec21, offender struck victim with metal stand, beat victim with hands and fist, and choked victim. on 07jan22, offender again struck victim, choked victim and forced victim to drive with offender where he threatened to shoot her and threatened to beat her if she did not go with him. victim was eventually able to get away and report offender to police. on 08jan22, victim was accompanied by police to residence, where offender was located and taken into custody. offender is charged with 2 felony counts of aggravated domestic battery, one count kidnapping with firearm (felony), domestic battery (2 misd counts) and interference with reporting-domestic violence (1 count).",08 JANUARY 2022,3.0,
13,0134 HRS.,OAK PARK POLICE OFFICER,"subject: chapman, brandon t. 38yoa, of 0-100 block n. lorel ave, chicago, il was a discharged patient who refused to leave the hospital. when arresting officers arrived on scene and attempted to detain him, the subject reached for the victim's holstered handgun and managed grip the holster/handle. he then kicked the victim in the groin area. he would eventually be arrested and transported to the station. the subject was found to be in possesion of a small clear bag containing individually wrapped baggies each containing a white in color hard substance (suspect cocaine/crack). also, a name check revealed two (2) warrants out of cook county for aggravated battery to p.o. and domestic battery. he was then processed, charged with aggravated battery to p.o., attempt to disarm p.o., pcs, two (2) cook county warrants and held for bond hearings.",12-DEC-23,8.0,
14,2140 HRS,CVS-6748 ROOSEVELT,"offender #1 m/b 20yoa 602-603 slim build tattoos lsw blue bandana/face mask, neon green vest with 'security"" on the back and black cargo pants. #2 m/b 40yoa 602-603 slim build bald lsw black shirt with ""security"" on the back and possibly a face mask. the offenders entered the store, #1 approached the clerk at the cash register, displayed a black handgun and demanded the money from the registers. the clerk gave the offender $200 from the register. the manager then approached and was grabbed by the arm by offender #2 who also displayed a black handgun and demanded he bring him to the safe. the manager led offender #2 upstairs and opened the safe while #1 stayed with the cashier. offender #2 removed $2,775 usc from the safe and both subjects fled the store and entered a white chevy sedan 2007-2010 unknown license plate and were last seen n/b on oak park ave. loss estimated at $2,975.",20-JUL-22,3.0,
15,2030 - 2045 HRS.,OAK PARK BUSINESS,"offender #1 f/b, 20-25 yoa, 5'06"", 180lbs wearing a white puffy coat with black stripes on the arm, light pink jeans, black shoes and a small black bag, offender #2 f/b, 20-25 yoa, 5'05"", 185lbs wearing a gray peacoat, distressed denim jeans, yellow and black shoes, offender #3 f/b, 20-25 yoa, 5'07"", 150lbs wearing shiny blue coat, black leggings, pink timberland shoes carrying a pink and black gym bag and offender #4 f/b, 30 yoa, 5'06"", 200lbs wearing purple winter coat with faux fur hood, adidas leggings, ugg boots, carrying a large black purse entered the store at the above location. offender 1, 2, and 3 removed several toddler boy's clothing items and offender #4 removed several toddler girl's clothing items and concealed them in a mesh shopping bag. the offenders passed the last point of purchase and exited the store without payment. estimated loss is $360.00.",18-DEC-18,1.0,
16,2123 HRS.,#1: OAK PARK OFFICER/123 MADISON ST. #2: OAK PARK SGT. /123 MADISON ST. #3: OAK PARK OFFICER /123 MADISON ST. #4: OAK PARK OFFICER /123 MADISON ST. #5: OAK PARK RESIDENT.,"subject: robinson, halia i. f/21 of 5500 block s. prairie ave , chicago, il was stopped and positively identified as the offender who by use of a snow brush, struck the rear passenger side to victim #5's vehicle that was parked at 305 south blvd. a name check revealed a warrant out of dekalb county for aggravated battery. the subject was then arrested and transported to the station. while being escorted to the report room, the subject scratched victim #1's left arm and spat in her face. she also spat on faces of victim #2, victim #3 and victim #4. robinson would later be processed, charged with four (4) counts of aggravated battery to p.o., criminal damage to propety and was held for bond hearings.",04-JUL-25,1.0,
17,1418 HRS,OAK PARK RESIDENT NA,"a male juvenile from chicago was arres ted at the above location for attempt theft of motor vehicle w hich occurred in the 900 block of pleasant. subject was processed and tr ansported to juvenile detention. two subjects with juvenile #1-jones, tea shawn m/18 of the 200 block of s oak park ave in oak park and #2-montgome ry, jahiem m/18 homeless lka 100 block of lucky day drive in summer ville, sc were arrested in the 900 block of north blvd for contrib uting to the delinquincy of a minor which occurred in the 900 bl ock of pleasant. both subjects were processed, given a citation and notic e to appear in court and released. the male juvenile was also arrested f or criminal damage to vehicle which occurred in the 100 block of n kenilw orth under report 24- 06929. subject was processed and transported to juv enile detention.",,,
18,1704 HRS,CHICAGO RESIDENT,"offender #1 13-15yoa, 5'6"", wearing a gray hooded sweatshirt with the hood up and dark pants, offender #2 12-13yoa, 5'3"", 100lbs, short dark hair, wearing awhite t-shirt, and offender #3 30yoa, 5'5"", medium build, short dark hair. victim was parked in alley with the drivers side door slightly open when offender #1 approached and pulled the driver's side door open and displayed a small black semi-automatic pistol. victim exited vehicle and offender #2, and #3 entered the vehicle. offenders took the silver 2013 toyota venze and fled e/b in the alley and turned on austin. the victim's purse containing misc. i.d's/credit cards, usc, and a samsung galaxy cell phone model s5 were also in the vehicle. the vehicle was recovered at 5000 block of w monroe after being located by oppd officers a short time later. loss is estimated at $300.00.",02-AUG-21,3.0,
19,1418 HRS,OAK PARK RESIDENT,"a male juvenile from chicago was arrested at the above location for attempt theft of motor vehicle which occurred in the 900 block of pleasant. subject was processed and transported to juvenile detention. two subjects with juvenile #1-jones, teashawn m/18 of the 200 block of s oak park ave in oak park and #2-montgomery, jahiem m/18 homeless lka 100 block of lucky day drive in summerville, sc were arrested in the 900 block of north blvd for contributing to the delinquincy of a minor which occurred in the 900 block of pleasant. both subjects were processed, given a citation and notice to appear in court and released. the male juvenile was also arrested for criminal damage to vehicle which occurred in the 100 block of n kenilworth under report 24-06929. subject was processed and transported to juvenile detention.",14-NOV-24,1.0,
20,0115 HRS.,BP AMOCO/201 MADISON,"a silver in color ford f-150 parked at the gas pump. offender #1: m/b, 20-30 yoa, heavy build, wearing a black/white baseball hat, gray hoodie, black pants, black shoes exited, entered the business and paid for fuel. after the subject fueled the truck, he re-entered the business and stated ""i didn't get the gas, give me my money back"". when the clerk refused, offender #1 stated ""give me the money from the register""and began throwing items from the display shelves onto the floor. after offender #1 exited the business, the clerk locked the door and offender #2: m/b, 20-30 yoa, tall, medium build, wearing an ornage coat, blue jeans began to kick the glass door. the offeners re-entered the truck, drove away southbound lombard and were last seen driving eastbound in the westbound lanes of i290 from austin. no loss reported.",19-MAR-22,2.0,
21,2020-2021 HRS.,CHICAGO RESIDENTS,"one victim exited her gray 2017 lincoln mkc to make a delivery order on the doorstep and one victim remained seated in the front passenger seat. a light-colored sedan stopped next victims vehicle and offender m/b, 5'08"", thin build, wearing a yellow knit cap, dark colored surgical-type mask and black hoodie exited the passenger side, pointed a black handgun at victim in vehicle and ordered passenger out of car. as victim who was driving returned to her vehicle, offender holding the handgun demanded her keys and she fled on foot from the scene. offender then entered the driver's seat of vehicle and both vehicles drove away southbound on home. loss estimated at $20,507.00. on 22-nov-21, at 0119 hrs, the gray lincoln mkc was recovered at 4500 block of s. ellis in chicago. vehicle recovered and processed by oppd.",21-NOV-21,4.0,
22,1825-1833 HRS,OAK PARK RESIDENT,"offender #1 m, unknown race, with a deep voice, wearing a black ski mask, dark bomber jacket, dark pants, and gloves and offender #2 no description. victim relates she was sitting in her vehicle when a small 2 door american style vehicle with a rounded rear body style similar to an older camaro style, with a dark rear window pulled up. offender #1 exited the passenger side of the vehicle, approached the victim and displayed a large caliber silver handgun. offender #1 then ordered the victim out of her vehicle. the victim complied and then ran to the rear of the residence. once officers located the victim and returned to the scene, it was discovered that the vehicle was still there. victim had taken the key fob with her when she ran from the scene. no estimated loss or injuries at time of report.",17-JAN-18,1.0,
23,0130-0134 HRS.,BERWYN RESIDENT,"the victim, a lyft driver, after dropping off a passenger in 300 block of humphrey, stopped at the stop sign in above area. offender #1: m/b. early 20's, 5'06""-5'08"", wearing dark clothing approached, tapped on the driver's window with a black in color handgun and stated ""get out"". the victim complied leaving the key fob inside. offender #2: m/b, early 20's, 5-06""-5'08"", wearing dark clothing entered the passenger side then drove away in silver in color 2017 ford fusion""an unknown direction. owner was able to track vehicle remotely and chicago police were able to recover vehicle in 9300 block of bishop in chicago at approximately 1000 hours. vehicle was recovered by cpd, and oppd took possession of vehicle and returned it to oak park where it was processed by et/ detectives. investigation is on-going.",28-NOV-21,2.0,
24,1800 - 0750 HRS.,"BLACK DIAMOND PLUMBING - MCHENRY, IL. HOFFMAN ESTATES RESIDENT","person(s) unknown gained entry to the victim's 2021 ford sprinter van by means of shattering the front passenger side window. once inside, offender(s) removed (1) rigid plumber locator, (1) lue msi plumber's camera, (1) rigid propress pipe crimper, (1) red milwaukee power saw, (1) red milwaukee compressor, (2) red milwaukee impact drills, (1) red milwaukee reciprocating saw, (1) red milwaukee multi-tool, (2) red milwaukee hammer drills, (1) milwaukee flashlight, (1) red milwaukee angle grinder, (1) red milwaukee band saw and (6) red milwaukee rechargable batteries. offender(s) then gained entry to a 2017 chevrolet express van by means of breaking the front passenger side window, but did not remove any items of value. estimated damage and loss $13,995.00",29-OCT-25 - 30-OCT-25,1.0,
25,1600 - 1615 HRS.,OAK PARK RESIDENT,"offender #1: m/h, light complexion, approx. 5`08"", 30 yoa, muscular build, overlapping upper front teeth, wearing white in color khaki pants, sweatshirt, gold chain necklace, and gold wrist chains while driving waved down and approached the victim after both pulling over at the above address. offender #1 and offender #2 m/h, light complexion, approx. 20 yoa started to solicit repair services as offender #2 applied an unknown substance to the front passenger side fender of the victim`s vehicle and used an unknown tool to create multiple, small dents in the same area. suspect#1 then began asking for money and requested the victim to go to the bank to withdraw cash for payment. the victim refused and both suspects entered their vehicle and left the scene. estimated damage is unknown.",11-APR-19,2.0,
26,1625 HRS,OAK PARK RESIDENT,"offender: razzino, nick, male, 19 yoa, of the 400 block of south ridgeland, oak park was arrested and charged with possession of a stolen motor vehicle and aggravated unlawful use of a weapon. razzino was transported to the station, processed, and held for bond hearings. offender: barnes, harold j, male, age 23, of the 10 block of south blvd, oak park was arrested for criminal trespass to motor vehicle. barnes also had a warrant out of forest park for resisting. the subject was arrested, transported to the station, processed and released after posting bond. both offenders were stopped in a chrysler minivan that was reported stolen out of oak park on 15-jul-22.",16-JUL-22,5.0,
27,1830-2000 HRS.,VICTIM #1: JEWEL FOOD STORE/438 MADISON VICTIM #2 (SECURITY) CHICAGO RESIDENT,"offender: m/b, 30 yoa, 5'09"", athletic build, dark complexion, wearing a blue/green knit hat, blue/green plain shirt and possibly jeans entered the business, removed multiple items from the display shelves, placed items into a shopping cart and was confronted by victim #2 and left without the shopping cart. offender then entered a blue older model (possibly 2003-2004) infiniti 4-door vehicle driven by offender #2: m/b, 27-28 yoa, 5'05"", heavy build, dark complexion, tattoo below left eye, wearing a gray ""nike"" sweatsuit. a short time later, person(s) unknown, by use of an unknown cutting tool, damaged two passenger side tires, the front driver's tire and both side view mirrors to victim (security) silver ford fusion.damage estimated at $1,000.00.",31-OCT-21,5.0,
28,0800 - 0802 HRS.,OAK PARK RESIDENT (2),"offender #1: m/b, approximately 5'10"", medium build wearing a dark hooded sweatshirt which was drawn tight around the head, and a dark colored ski mask and offender #2:same description. v#1 was cleaning off v#2's running black hynundai tucson while it was parked in front of the above address and had bent down to pick up a pair of gloves when he heard a door slam shut nearby. offender #1 approached him and displayed an unknown type dark handgun. v#2 backed away from the vehicle as offender #2 entered it and fled the scene w/b and then n/b in the austin/humphrey alley. offender #1 ran towards an unknown vehicle parked nearby on pleasant and left the scene headed w/b. vehicle contained a boost moble samsung phone, house keys and personal paperwork. total loss is $28,000.00.",16-JAN-18,2.0,
29,0204 HRS.,STATE OF ILLINOIS,"offender: hernandez, cuahuctemoc 46 yoa of 2800 block of s. harding ave in chicago was arrested for armed habital criminal, violation of parole and leaving the scene property damage accident. subject was involved in a hit and run traffic crash in 1100 block of madison. officers observed subject leaving scene in and curbed subject in 400 block of s oak park. subject appeared disorentated and due to weather was brought into station for further investigation. subjects vehicle was towed due to damage from the accident and a loaded handgun was recovered from the vehicle. subject is a convicted felon and on parole. felony charges approved by cook county states attorney office for armed habitual criminal and violation of parole anlong with traffic charges for accident.",02-FEB-22,1.0,
30,0015 HRS.,OAK PARK RESIDENT,"while the victim was seated inside his black 2007 toyota avalon, a vehicle drove up, offender #1: m/b, 15-20 yoa, 5'06""-5'11"", thin build, short dreads, wearing a black face mask, blue hoodie with hood p and offender #2: m/b, 15-20 yoa, 5'06""-5'11"", thin build, wearing a black face mask, red hoodie with the writing ""hilifiger"" on back with the hood up exited and approached. offender #1 displayed and pointed a black semi-automatic handgun and order the victim out of the car. the victim drove away. a short time later the victim observed a traffic crash at randolph and ridgeland involving the same offenders. these offenders fled from a grey 2020 chevy trax which was reported stolen out of chicago. the owner was notified. no apprehensions.",11-JUL-22,2.0,
31,2346 HRS.,ROCKFORD RESIDENT,"while the victim was paying for service items, the m/u offender approached him from behind, displayed/pointed a black in color semi-automatic handgun at him and threatened the victim for his property. the victim complied and handed the offender his car keys to a white in color 2016 chevy malibu, his wallet containing usc, driver's license, miscellaneous credit cards, yellow in color chain with ""chase"" pendant, and four yellow in color rings. the offender then entered the victim's chevy and drove away westbound madison. a short time later, the victim's vehicle was located after officers were alerted to a vehicle fire in the rear of the 600 block of south scoville in oak park. the fire was sturck by the oak park fire department. total estimated loss $17,200.00.",09-JUL-23,5.0,manual_fix: regeocoded_with_op_bias
32,1919 HRS.,CICERO RESIDENT,"after the victim exited his vehicle, offender #1: m/b, 18-20 yoa, wearing a ""jason"" mask, black/red sweatshirt with hood, dark pants approached from behind, displayed a black handgun and demanded everything. the victim complied and handed offender #2: m/b, 18-20 yoa, 6'0"", thin build, short hair in fade hair style who displayed a dark handgun, car keys to a 2012 silver nissan maxima, a wallet and a samsung cellular telephone. offenders #3 & #4: m/b's, 18-20 yoa, thin build, wearing dark clothing, also displayed handguns. all offenders then entered the victim's vehicle and drove away eastbound chicago avenue. the loss estimated at $21,000.00. at 2315 hrs, the vehicle was located unattended in the 3100 block of west 15th place in chicago and recovered.",21-DEC-18,2.0,
33,0000 HRS,OAK PARK BUSINESS,"officers responded to a burglar alarm at the business for a glass break motion and when arrived viewed the front door of the business had been forced open by unknown means. numerous display cases were broken and merchandise thrown around the business. a keyholder arrived and observed on camera a dark colored older model chevy suburban or tahoe pull up in front, 4 male subjects exit the vehicle. one subject forced open the front door and 3 out of 4 subjects enter the business and began breaking the display cases and removing property. all subjects then exited the business and entered the vehicle which was last seen s/b on marion. owner arrived and stated two of the broken cases were full of an assortment of rings, wedding bands, earrings and necklaces. loss est. at $20,000.",06-FEB-24,1.0,
34,2145 - 2205 HRS.,OAK PARK RESIDENT,"while walking n/b on elmwood the victim was approached from behind by two offenders. offender #1 was am/b, teens, 510-600, black hat, red hoody with black stripes on the sleeves, black face mask, black pants, orange/purple new balance shoes who displayed a handgun and demanded all of victims property. offender #2 was a m/b, teens, 510-600, black face mask, black hat, black coat with a white tag on the zipper who reached inside the victim's pockets and removed keys, a black leather wallet, and a black cellphone . both offenders forced the victim to walk to an unknown location and the subjects took turns using the victims chase debit card to withdrawal money while the other watched him. the victim was allowed to leave after 15-20 minutes. total estimated loss $3,500.",23-DEC-21,2.0,
35,1647 - 1651 HRS.,OAK PARK RESIDENT,"the victim was approached outside of her residence by three male offenders (#1 m/h, 40 yoa, stocky build, white sweatshirt; #2 m/u, 40 yoa, light complexion, slim build, light colored sweatshirt and stocking cap; #3 m/u, 40 yoa, light complexion, heavy build, face mask and light facial hair) driving a white newer model, 4-dr sedan, tinted windows, no front license plate, unknown temporary registration. the victim related while she was being distracted by two of the offenders, the third offender went towards the front of her residence. the victim states the offenders left the scene abruptly in the white sedan e/b on augusta. the victim's upstairs office was ransancked and an unknown amount of gold and jewelry had been stolen. estimated loss $10,000.00.",07-NOV-22,1.0,
36,1245 HRS,,"robinson, keyon 18yoa of 1000 block of washington in oak park was arrested at the above location for aggravated use of a weapon on school propery and aggravated use of a weapon no foid. a name check showed subject to have an active dupage county warrant for traffic. subject was stopped after oppd revieved information that he was bringing a handgun to school. subject was stopped at 201 n scoville outside main entrance of school and found to be in possession of a loaded handgun. subject placed under arrest and transported to oppd for processing. a name check revealed an outstanding warrant from dupage county for traffic violation also. subject held for bond hearings.",03-MAY-22,1.0,
37,1955,LAKE & AUSTIN FOOD MART,"offender #1-m/b or m/h light brown or olive skin thin build lsw gray short sleeve shirt over a white hoody with dark color long sleeves black ski mask covering his face, dark gloves and light color blue jeans. #2-m/b lsw black hat, black hooded jacket with circular logo on left arm and a yellow rectangle on back, light colored medical mask over his face, dark colored pants and tan boots. offenders entered the store, offender #1 approached victim #1 from behind and displayed a silver long barrel revolver. offender #2 then approached victim #2 and demanded he open the registers. offender #2 then removed the money from the register and the cash drawer behind the counter. offenders fled the store and were last seen n/b on foot. loss estimated at $4,000.",11-JAN-18,1.0,
38,1016 HRS.,,"subject: davis, josepher 41 yoa of 1600 block of n austin blvd. chicago was arrested for aggravated unlawful use of a weapon / suspended license and operating an uninsured vehicle. subject has been operating a black jeep, when he stopped in traffic and exited his vehicle. when subject was approached by officers. he appeared disoreintated, and opfd was called to scene. subject was cleared by opfd on scene, and it was determined that subject had no alcohol in his system. further investigation revealed a loaded handgun in subjects vehicle, and a suspended driver's license with no proof of insurance. subject placed in custody and was transported to the station, processed and held for bond hearing.",16-MAY-22,2.0,
39,1600-1603 HRS,FOREST PARK RESIDENT,"victim was parked in his silver 2012 honda accord when victim observed an early 2000's green suv park in the middle of the street in front of his vehicle. victim observed offender #1: m/b, 17-18yoa, 6'00, thin build, wearing a white t-shirt, armed with a small black semi-automatic handgun, standing at the driver side door of his vehicle. offender #2 m/b, 17-18yoa (no further) was standing at the front passenger door. offender #1 opened the driver's door and ordered the victim out of the vehicle. victim exited the vehicle. offender #1 entered and drove the victim's vehicle as offender #2 fled to the awaiting green suv which was driven by offender #3 (no description). both vehicles were l/s e/b van buren from wesley.",25-JUN-18,2.0,
40,0249 HRS.,VICTIM #1- CHICAGO RESIDENT VICTIM #2- OAK PARK RESIDENT VICTIM #3- OAK PARK RESIDENT,"subject: williams, anthony r. (m/57) of the 700 block of north mayfield ave. in chicago was stopped and arrested for the attempt burglary that occurred in the 0-100 block of chicago ave. arresting officers located lock plyers, a knife and a flashlight in the subject's pocket. he was then transported to the station. further investigation, revealed the subject was in possession of work tools that were removed from victim #2's garage. also, security camera footage showed the subject gained entry to victim #3's garage and removed miscellaneous items. the subject was later charged with possession of burglary tools, two counts of burglary and held for bond hearings.",12-AUG-23,5.0,
